,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Date
69,6781335.22,6501995.21,6342001.31,6209390.71,6510287.96,7315521.26,7422568.37,7710002.54,8118129.79,8417928.56,8787273.25,9010859.01,8794907.83,8909511.91,9072698.13,9076883.34,8937481.87,8756116.14,9397098.14,9791964.46,9548299.11,8986201.19,8114883.05,7257622.38,2015-03-11
70,6796938.17,6534839.02,6395055.41,6351132.21,6601759.01,7317135.58,7459337.74,7726114.62,8203830.37,8569077.52,8866095.31,9083700.97,8872238.18,8940211.39,9161786.29,9121958.39,8953262.38,8703354.29,9238261.1,9655400.04,9339566.16,8846625.92,8067826.36,7296556.4,2015-03-12
71,6840753.78,6583427.81,6376500.97,6348341.43,6614109.27,7257577.45,7431832.1,7757185.13,8225873.73,8516640.03,8700850.04,8934632.04,8785713.39,8832701.89,9064408.6,9052609.44,8818995.63,8619474.11,9223782.02,9453169.76,9122615.31,8741962.46,7987367.02,7317877.77,2015-03-13
72,6714515.59,6431266.45,6251331.18,6179771.42,6270553.66,6492613.3,6553483.09,7100295.0,7754070.53,8129470.29,8396691.42,8556848.54,8390290.79,8161331.88,8145735.99,8028213.89,7873369.12,7868466.42,8652948.26,9012202.42,8731910.65,8284017.74,7623831.93,6996388.61,2015-03-14
73,6422824.42,6098186.85,5911597.48,5790445.8,5725888.43,5743496.79,5622066.24,5879350.66,6296360.39,6586155.12,6903880.21,7110220.09,7116497.02,7071659.4,6958351.72,6867488.45,6801193.53,6876321.81,7837907.94,8388932.69,8293506.99,7868121.77,7204315.91,6657973.77,2015-03-15
74,6232940.81,5966433.16,5798969.63,5785389.34,6048904.68,6764182.8,6941761.82,7269143.12,7964470.1,8266127.02,8525255.03,8763139.59,8563429.64,8552475.2,8692049.99,8670880.06,8601230.15,8350658.56,9116699.98,9495105.69,9212582.91,8638475.41,7714130.12,6902024.76,2015-03-16
75,6236385.12,6051863.68,5920859.26,5939157.41,6167450.62,6900085.8,7140853.05,7447447.67,7999795.85,8306870.82,8567812.41,8782929.52,8523141.38,8657721.43,8842821.78,8867240.01,8769717.19,8521025.29,9132836.08,9453071.89,9114212.06,8553516.75,7591080.28,6774406.46,2015-03-17
76,6295079.12,6021129.01,5883827.06,5823653.61,6064588.46,6820680.67,7074450.0,7353725.53,7888356.45,8125375.5,8345736.99,8611432.16,8436213.43,8416338.26,8620400.96,8649648.3,8581439.34,8400250.37,9025066.98,9267905.65,8992402.68,8430976.68,7493259.44,6563702.97,2015-03-18
77,6098464.42,5878010.3,5732171.97,5727830.86,5971520.16,6660518.45,6904252.42,7236522.71,7784904.91,8028971.6,8325572.71,8594713.73,8369598.89,8327402.4,8544696.98,8613985.22,8502353.78,8341732.51,9032571.8,9241248.92,8916584.08,8342712.34,7403684.91,6562127.33,2015-03-19
78,6091092.75,5839586.38,5710468.59,5712010.35,5965768.34,6672908.15,6798213.84,7108700.86,7533396.83,7965427.43,8307749.8,8587963.31,8340000.25,8317436.32,8512075.34,8560640.41,8449539.7,8233516.52,8952222.53,9241484.47,8855030.31,8281170.11,7443015.32,6683864.53,2015-03-20
